,Hour,Temperature,Humidity,Wind_Speed,Visibilty,Solar_Radiation,Rainfall,Snowfall,Seasons,Holiday,Month,Year,Weekday,Is_Weekend
6181,13,36.9,39,1.5,2000,2.46,0.0,0.0,Summer,1,8,2018,Wednesday,0
2210,2,0.9,35,0.5,1856,0.0,0.0,0.0,Spring,0,3,2018,Saturday,1
3402,18,22.2,11,3.0,2000,0.98,0.0,0.0,Spring,0,4,2018,Saturday,1
5933,5,27.3,84,0.8,1067,0.0,0.0,0.0,Summer,0,8,2018,Sunday,1
2373,21,3.5,69,1.4,1177,0.0,0.0,0.0,Spring,0,3,2018,Friday,0
7148,20,17.6,57,1.4,2000,0.0,0.0,0.0,Autumn,1,9,2018,Monday,0
3132,12,20.5,37,4.6,1761,2.94,0.0,0.0,Spring,0,4,2018,Tuesday,0
4108,4,12.4,0,0.8,2000,0.0,0.0,0.0,Spring,0,5,2018,Monday,0
6587,11,27.6,47,1.2,2000,2.63,0.0,0.0,Autumn,0,9,2018,Saturday,1
4811,11,24.6,53,1.4,1472,1.67,0.0,0.0,Summer,0,6,2018,Tuesday,0
3394,10,20.6,24,2.0,950,2.29,0.0,0.0,Spring,0,4,2018,Saturday,1
1928,8,-1.2,51,0.8,1800,0.05,0.0,0.0,Winter,0,2,2018,Monday,0
4498,10,24.3,53,2.9,949,2.37,0.0,0.0,Summer,1,6,2018,Wednesday,0
2888,8,10.4,65,0.8,979,0.41,0.0,0.0,Spring,0,3,2018,Saturday,1
2283,3,0.1,71,0.4,2000,0.0,0.0,0.0,Spring,0,3,2018,Tuesday,0
7514,2,14.4,91,0.4,402,0.0,4.5,0.0,Autumn,0,10,2018,Wednesday,0
1880,8,-7.1,30,1.7,1991,0.04,0.0,0.0,Winter,1,2,2018,Saturday,1
6889,1,21.6,75,1.1,1671,0.0,0.0,0.0,Autumn,0,9,2018,Friday,0
1981,13,2.9,14,3.3,2000,2.14,0.0,0.0,Winter,0,2,2018,Wednesday,0
3752,8,15.2,97,1.0,414,0.08,2.0,0.0,Spring,0,5,2018,Sunday,1
8085,21,10.8,57,2.0,1219,0.0,0.0,0.0,Autumn,0,11,2018,Friday,0
6321,9,24.4,82,3.0,1847,0.6,0.0,0.0,Summer,0,8,2018,Tuesday,0
4678,22,21.6,66,1.2,1438,0.0,0.0,0.0,Summer,0,6,2018,Wednesday,0
5169,9,27.4,68,0.5,1941,1.31,0.0,0.0,Summer,0,7,2018,Wednesday,0
1406,14,-1.5,20,3.0,1992,1.09,0.0,0.0,Winter,0,1,2018,Sunday,1
1561,1,-10.5,48,3.1,2000,0.0,0.0,0.0,Winter,0,2,2018,Sunday,1
4079,23,17.1,37,1.3,2000,0.0,0.0,0.0,Spring,0,5,2018,Saturday,1
1175,23,0.6,47,2.3,1046,0.0,0.0,0.0,Winter,0,1,2018,Thursday,0
5410,10,27.8,68,2.1,1490,1.29,0.0,0.0,Summer,0,7,2018,Saturday,1
1954,10,1.1,38,3.1,1184,1.13,0.0,0.0,Winter,0,2,2018,Tuesday,0
2388,12,7.1,50,2.2,909,2.47,0.0,0.0,Spring,0,3,2018,Saturday,1
5162,2,25.1,82,0.2,2000,0.0,0.0,0.0,Summer,0,7,2018,Wednesday,0
6469,13,22.9,92,1.2,459,1.09,0.5,0.0,Summer,0,8,2018,Monday,0
214,22,-0.5,55,0.6,1655,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
4910,14,28.0,46,3.6,1401,2.88,0.0,0.0,Summer,0,6,2018,Saturday,1
4187,11,21.5,30,2.9,1779,2.92,0.0,0.0,Spring,0,5,2018,Thursday,0
547,19,6.0,76,1.1,219,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
5721,9,29.9,69,1.5,769,1.12,0.0,0.0,Summer,0,7,2018,Friday,0
1545,9,-9.4,47,3.3,1995,0.42,0.0,0.3,Winter,0,2,2018,Saturday,1
2111,23,2.8,39,0.7,1065,0.0,0.0,0.0,Winter,0,2,2018,Monday,0
3795,3,15.6,63,1.7,2000,0.0,0.0,0.0,Spring,0,5,2018,Tuesday,0
5932,4,27.3,83,2.2,1054,0.0,0.0,0.0,Summer,0,8,2018,Sunday,1
172,4,-5.3,53,2.4,1936,0.0,0.0,0.0,Winter,0,12,2017,Friday,0
1726,22,-6.2,32,3.5,2000,0.0,0.0,0.0,Winter,0,2,2018,Saturday,1
5030,14,27.1,72,3.0,1126,0.91,0.0,0.0,Summer,0,6,2018,Thursday,0
3865,1,12.4,84,1.8,287,0.0,0.0,0.0,Spring,0,5,2018,Friday,0
594,18,-1.6,33,2.0,2000,0.0,0.0,0.0,Winter,1,12,2017,Monday,0
5872,16,37.9,39,1.6,1757,1.76,0.0,0.0,Summer,0,8,2018,Thursday,0
1615,7,-12.7,41,3.7,1982,0.0,0.0,0.0,Winter,0,2,2018,Tuesday,0
1755,3,-8.5,35,2.7,2000,0.0,0.0,0.0,Winter,0,2,2018,Monday,0
3458,2,10.1,83,1.4,2000,0.0,0.1,0.0,Spring,0,4,2018,Tuesday,0
6499,19,23.9,98,0.8,1792,0.0,7.0,0.0,Summer,0,8,2018,Tuesday,0
5370,18,27.5,77,2.1,1897,0.46,0.0,0.0,Summer,0,7,2018,Thursday,0
231,15,6.7,63,4.5,715,0.35,0.0,1.0,Winter,0,12,2017,Sunday,1
5514,18,32.0,50,2.6,1374,1.25,0.0,0.0,Summer,0,7,2018,Wednesday,0
7972,4,5.6,66,0.7,2000,0.0,0.0,0.0,Autumn,0,10,2018,Monday,0
7306,10,16.3,47,3.6,1815,1.93,0.0,0.0,Autumn,0,10,2018,Monday,0
3797,5,15.0,64,1.6,2000,0.0,0.0,0.0,Spring,0,5,2018,Tuesday,0
8753,17,6.0,29,2.1,1877,0.23,0.0,0.0,Autumn,0,11,2018,Friday,0
5638,22,30.3,60,1.8,2000,0.0,0.0,0.0,Summer,0,7,2018,Monday,0
8069,5,4.8,75,0.7,1471,0.0,0.0,0.0,Autumn,0,11,2018,Friday,0
3143,23,15.1,83,4.1,1147,0.0,3.0,0.0,Spring,0,4,2018,Tuesday,0
5070,6,22.1,85,0.5,303,0.01,0.1,0.0,Summer,0,6,2018,Saturday,1
3478,22,10.4,43,0.7,2000,0.0,0.0,0.0,Spring,0,4,2018,Tuesday,0
7969,1,5.1,83,1.1,1989,0.0,0.0,0.0,Autumn,0,10,2018,Monday,0
6458,2,20.3,97,0.7,315,0.0,1.0,0.0,Summer,0,8,2018,Monday,0
7955,11,9.4,86,1.2,1220,0.75,0.0,0.0,Autumn,0,10,2018,Sunday,1
7532,20,10.6,48,2.0,2000,0.0,0.0,0.0,Autumn,0,10,2018,Wednesday,0
7435,19,19.7,72,0.6,2000,0.0,0.0,0.0,Autumn,0,10,2018,Saturday,1
1515,3,-6.3,63,0.9,1425,0.0,0.0,0.0,Winter,0,2,2018,Friday,0
216,0,-0.2,55,1.0,1629,0.0,0.0,0.0,Winter,0,12,2017,Sunday,1
1038,6,-6.4,59,0.6,887,0.0,0.0,0.0,Winter,0,1,2018,Saturday,1
323,11,-6.1,38,1.0,1587,0.52,0.0,0.0,Winter,0,12,2017,Thursday,0
5862,6,30.4,54,1.3,2000,0.01,0.0,0.0,Summer,0,8,2018,Thursday,0
4512,0,19.6,82,1.7,628,0.0,0.0,0.0,Summer,0,6,2018,Thursday,0
4440,0,21.4,45,1.4,1964,0.0,0.0,0.0,Summer,0,6,2018,Monday,0
2177,17,0.4,37,5.2,1366,1.23,0.0,0.0,Spring,1,3,2018,Thursday,0
5796,12,33.6,48,1.6,2000,1.89,0.0,0.0,Summer,0,7,2018,Monday,0
2579,11,8.5,49,0.7,718,0.76,0.0,0.0,Spring,0,3,2018,Sunday,1
893,5,-5.6,58,0.7,1350,0.0,0.0,0.0,Winter,0,1,2018,Sunday,1
4817,17,25.1,51,2.4,1714,1.15,0.0,0.0,Summer,0,6,2018,Tuesday,0
4873,1,20.2,75,1.4,525,0.0,0.0,0.0,Summer,0,6,2018,Friday,0
3435,3,9.9,93,2.3,990,0.0,0.5,0.0,Spring,0,4,2018,Monday,0
7196,20,20.0,46,2.0,2000,0.0,0.0,0.0,Autumn,0,9,2018,Wednesday,0
324,12,-4.9,34,1.3,1768,0.6,0.0,0.0,Winter,0,12,2017,Thursday,0
1215,15,6.3,55,3.0,355,0.68,0.0,0.0,Winter,0,1,2018,Saturday,1
5646,6,27.2,71,0.8,1920,0.02,0.0,0.0,Summer,0,7,2018,Tuesday,0
4469,5,18.1,73,0.5,1182,0.0,0.0,0.0,Summer,0,6,2018,Tuesday,0
3405,21,17.8,21,1.2,2000,0.0,0.0,0.0,Spring,0,4,2018,Saturday,1
4987,19,24.2,94,4.7,242,0.03,1.5,0.0,Summer,0,6,2018,Tuesday,0
8201,17,14.9,73,0.9,854,0.04,0.0,0.0,Autumn,0,11,2018,Wednesday,0
5944,16,33.6,57,3.5,1901,2.19,0.0,0.0,Summer,0,8,2018,Sunday,1
1730,2,-7.0,42,1.6,2000,0.0,0.0,0.0,Winter,0,2,2018,Sunday,1
7538,2,7.1,64,0.9,2000,0.0,0.0,0.0,Autumn,0,10,2018,Thursday,0
2987,11,12.8,65,2.0,2000,1.76,0.0,0.0,Spring,0,4,2018,Wednesday,0
1129,1,3.3,64,0.4,339,0.0,0.0,0.0,Winter,0,1,2018,Wednesday,0
6447,15,24.3,64,1.8,1931,0.59,0.0,0.0,Summer,0,8,2018,Sunday,1
6441,9,24.2,64,1.2,1985,1.48,0.0,0.0,Summer,0,8,2018,Sunday,1
6354,18,35.4,40,1.0,2000,0.34,0.0,0.0,Summer,0,8,2018,Wednesday,0
6432,0,22.8,78,1.5,2000,0.0,0.0,0.0,Summer,0,8,2018,Sunday,1
664,16,0.3,57,2.3,1204,0.19,0.0,0.0,Winter,0,12,2017,Thursday,0
7655,23,14.1,74,1.5,486,0.0,0.0,0.0,Autumn,0,10,2018,Monday,0
3591,15,22.8,24,3.3,1138,2.79,0.0,0.0,Spring,0,4,2018,Sunday,1
208,16,4.4,33,1.6,1963,0.4,0.0,0.0,Winter,0,12,2017,Saturday,1
5470,22,27.2,69,1.7,2000,0.0,0.0,0.0,Summer,0,7,2018,Monday,0
747,3,-4.0,44,1.0,2000,0.0,0.0,0.0,Winter,1,1,2018,Monday,0
5576,8,27.4,63,0.9,1043,1.03,0.0,0.0,Summer,0,7,2018,Saturday,1
8078,14,18.0,31,1.2,1506,1.98,0.0,0.0,Autumn,0,11,2018,Friday,0
798,6,-6.7,48,2.4,1991,0.0,0.0,0.0,Winter,0,1,2018,Wednesday,0
88,16,-0.2,23,4.7,2000,0.55,0.0,0.0,Winter,0,12,2017,Monday,0
734,14,3.0,28,3.8,1956,1.1,0.0,0.0,Winter,1,12,2017,Sunday,1
196,4,-4.3,49,0.7,2000,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
5446,22,27.5,77,0.9,1778,0.0,0.0,0.0,Summer,0,7,2018,Sunday,1
4677,21,21.8,67,0.0,1485,0.0,0.0,0.0,Summer,0,6,2018,Wednesday,0
6043,19,28.2,82,0.4,1832,0.16,0.0,0.0,Summer,0,8,2018,Thursday,0
1174,22,0.7,45,2.0,1084,0.0,0.0,0.0,Winter,0,1,2018,Thursday,0
7095,15,25.4,32,3.8,1980,2.42,0.0,0.0,Autumn,0,9,2018,Saturday,1
8141,5,8.0,84,0.7,569,0.0,0.0,0.0,Autumn,0,11,2018,Monday,0
6676,4,19.9,81,0.2,2000,0.0,0.0,0.0,Autumn,0,9,2018,Wednesday,0
4407,15,29.8,24,2.9,1939,3.0,0.0,0.0,Summer,0,6,2018,Saturday,1
6861,21,23.2,57,1.1,2000,0.0,0.0,0.0,Autumn,0,9,2018,Wednesday,0
3769,1,15.1,84,0.3,1858,0.0,0.0,0.0,Spring,0,5,2018,Monday,0
4601,17,24.6,52,1.3,2000,0.82,0.0,0.0,Summer,0,6,2018,Sunday,1
1153,1,3.2,72,1.9,306,0.0,0.0,0.0,Winter,0,1,2018,Thursday,0
198,6,-5.1,53,0.9,1975,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
3018,18,7.6,96,2.0,660,0.04,0.0,0.0,Spring,0,4,2018,Thursday,0
4119,15,23.3,38,1.5,1963,2.13,0.0,0.0,Spring,0,5,2018,Monday,0
8496,0,3.8,42,1.7,1458,0.0,0.0,0.0,Autumn,0,11,2018,Tuesday,0
1097,17,6.5,40,0.8,804,0.23,0.0,0.0,Winter,0,1,2018,Monday,0
548,20,5.9,75,1.5,222,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
3065,17,7.6,36,5.3,2000,1.8,0.0,0.0,Spring,0,4,2018,Saturday,1
5504,8,25.8,71,0.4,760,0.93,0.0,0.0,Summer,0,7,2018,Wednesday,0
7394,2,18.2,64,2.0,2000,0.0,0.0,0.0,Autumn,0,10,2018,Friday,0
2592,0,7.0,81,1.1,421,0.0,0.5,0.0,Spring,0,3,2018,Monday,0
1321,1,-16.1,42,2.2,2000,0.0,0.0,0.7,Winter,0,1,2018,Thursday,0
4317,21,19.9,93,1.4,416,0.0,0.0,0.0,Spring,0,5,2018,Tuesday,0
4587,3,18.6,78,0.8,1997,0.0,0.0,0.0,Summer,0,6,2018,Sunday,1
5085,21,23.9,84,0.7,1552,0.0,0.0,0.0,Summer,0,6,2018,Saturday,1
6892,4,20.7,76,1.0,2000,0.0,0.0,0.0,Autumn,0,9,2018,Friday,0
4823,23,20.1,73,1.9,771,0.0,0.0,0.0,Summer,0,6,2018,Tuesday,0
5275,19,26.3,51,1.7,2000,0.18,0.0,0.0,Summer,0,7,2018,Sunday,1
4716,12,24.4,50,1.6,2000,3.07,0.0,0.0,Summer,0,6,2018,Friday,0
5755,19,29.3,78,0.0,988,0.15,0.0,0.0,Summer,0,7,2018,Saturday,1
5427,3,24.8,86,0.2,1354,0.0,0.0,0.0,Summer,0,7,2018,Sunday,1
5569,1,27.0,74,1.1,1833,0.0,0.0,0.0,Summer,0,7,2018,Saturday,1
6394,10,26.0,77,2.2,2000,0.61,0.0,0.0,Summer,0,8,2018,Friday,0
5928,0,28.0,82,1.4,1221,0.0,0.0,0.0,Summer,0,8,2018,Sunday,1
5686,22,28.8,76,2.8,1231,0.0,0.0,0.0,Summer,0,7,2018,Wednesday,0
8224,16,11.7,96,1.4,587,0.02,0.0,0.0,Autumn,0,11,2018,Thursday,0
7544,8,7.0,56,3.1,1971,0.44,0.0,0.0,Autumn,0,10,2018,Thursday,0
5714,2,27.8,79,1.4,1049,0.0,0.0,0.0,Summer,0,7,2018,Friday,0
3927,15,19.7,63,2.5,941,2.01,0.0,0.0,Spring,0,5,2018,Sunday,1
8480,8,3.5,71,0.8,958,0.06,0.0,0.0,Autumn,0,11,2018,Monday,0
937,1,-1.9,69,5.0,791,0.0,0.0,1.0,Winter,0,1,2018,Tuesday,0
7935,15,11.4,32,3.8,2000,1.21,0.0,0.0,Autumn,0,10,2018,Saturday,1
3169,1,8.9,40,2.1,2000,0.0,0.0,0.0,Spring,0,4,2018,Thursday,0
4961,17,31.5,42,2.3,990,1.36,0.0,0.0,Summer,0,6,2018,Monday,0
1793,17,3.5,46,3.1,1992,0.39,0.0,0.0,Winter,0,2,2018,Tuesday,0
622,22,-7.2,38,3.1,2000,0.0,0.0,0.0,Winter,0,12,2017,Tuesday,0
7714,10,13.7,57,1.2,2000,1.33,0.0,0.0,Autumn,0,10,2018,Thursday,0
5691,3,27.7,76,0.2,1376,0.0,0.0,0.0,Summer,0,7,2018,Thursday,0
2473,1,13.7,73,2.2,1182,0.0,0.0,0.0,Spring,0,3,2018,Wednesday,0
5552,8,26.6,70,1.3,1062,1.01,0.0,0.0,Summer,0,7,2018,Friday,0
5244,12,26.4,47,1.7,2000,3.26,0.0,0.0,Summer,0,7,2018,Saturday,1
2691,3,1.9,81,1.1,525,0.0,0.0,0.0,Spring,0,3,2018,Friday,0
8573,5,-2.4,37,0.5,2000,0.0,0.0,0.0,Autumn,0,11,2018,Friday,0
2067,3,-1.3,42,0.8,1648,0.0,0.0,0.0,Winter,0,2,2018,Sunday,1
3095,23,2.9,85,0.9,829,0.0,0.0,0.0,Spring,0,4,2018,Sunday,1
4310,14,25.5,53,2.0,981,2.5,0.0,0.0,Spring,0,5,2018,Tuesday,0
5412,12,30.2,58,2.3,1359,2.64,0.0,0.0,Summer,0,7,2018,Saturday,1
7168,16,24.2,28,1.7,2000,1.86,0.0,0.0,Autumn,1,9,2018,Tuesday,0
4176,0,13.7,51,1.3,1651,0.0,0.0,0.0,Spring,0,5,2018,Thursday,0
7625,17,18.2,43,2.3,1925,0.68,0.0,0.0,Autumn,0,10,2018,Sunday,1
620,20,-6.1,32,4.7,2000,0.0,0.0,0.0,Winter,0,12,2017,Tuesday,0
1544,8,-9.5,56,3.5,1979,0.01,0.0,0.3,Winter,0,2,2018,Saturday,1
1978,10,-1.8,25,2.6,1913,1.17,0.0,0.0,Winter,0,2,2018,Wednesday,0
8495,23,4.2,42,2.2,1360,0.0,0.0,0.0,Autumn,0,11,2018,Monday,0
8660,20,7.3,66,0.5,516,0.0,0.0,0.0,Autumn,0,11,2018,Monday,0
14,14,3.0,26,2.0,2000,1.01,0.0,0.0,Winter,0,12,2017,Friday,0
478,22,-1.6,82,0.4,929,0.0,0.0,2.3,Winter,0,12,2017,Wednesday,0
1352,8,-17.8,40,2.5,2000,0.0,0.0,0.5,Winter,0,1,2018,Friday,0
5119,7,20.7,97,0.4,1801,0.0,0.5,0.0,Summer,0,7,2018,Monday,0
6303,15,32.9,45,1.9,1877,1.84,0.0,0.0,Summer,0,8,2018,Monday,0
5108,20,21.9,97,1.1,534,0.0,6.0,0.0,Summer,0,7,2018,Sunday,1
6318,6,23.8,89,3.3,882,0.0,1.5,0.0,Summer,0,8,2018,Tuesday,0
5595,3,26.3,63,0.2,2000,0.0,0.0,0.0,Summer,0,7,2018,Sunday,1
6300,12,31.7,45,2.5,1814,1.96,0.0,0.0,Summer,0,8,2018,Monday,0
5869,13,36.7,44,1.4,1765,1.9,0.0,0.0,Summer,0,8,2018,Thursday,0
1033,1,-6.5,45,0.5,1964,0.0,0.0,0.0,Winter,0,1,2018,Saturday,1
2750,14,16.1,37,2.4,315,2.62,0.0,0.0,Spring,0,3,2018,Sunday,1
286,22,-9.0,45,1.3,1999,0.0,0.0,0.0,Winter,0,12,2017,Tuesday,0
550,22,5.3,79,0.6,200,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
2132,20,5.9,44,1.3,733,0.0,0.0,0.0,Winter,0,2,2018,Tuesday,0
4550,14,25.0,54,2.2,1146,1.86,0.0,0.0,Summer,0,6,2018,Friday,0
7523,11,12.7,50,3.3,1999,1.61,0.0,0.0,Autumn,0,10,2018,Wednesday,0
4228,4,14.8,73,0.5,994,0.0,0.0,0.0,Spring,0,5,2018,Saturday,1
6895,7,20.5,76,1.3,2000,0.06,0.0,0.0,Autumn,0,9,2018,Friday,0
2302,22,4.5,40,1.3,1871,0.0,0.0,0.0,Spring,0,3,2018,Tuesday,0
6066,18,35.2,44,2.6,2000,1.23,0.0,0.0,Summer,0,8,2018,Friday,0
2554,10,6.0,43,1.0,1829,1.69,0.0,0.0,Spring,0,3,2018,Saturday,1
6702,6,21.4,84,0.8,1506,0.0,0.0,0.0,Autumn,0,9,2018,Thursday,0
1916,20,0.6,33,1.9,2000,0.0,0.0,0.0,Winter,0,2,2018,Sunday,1
5087,23,22.9,92,0.6,989,0.0,0.0,0.0,Summer,0,6,2018,Saturday,1
1569,9,-12.4,51,3.8,1415,0.38,0.0,0.0,Winter,0,2,2018,Sunday,1
1425,9,-10.8,34,2.9,1975,0.17,0.0,0.0,Winter,0,1,2018,Monday,0
2142,6,5.2,60,1.9,430,0.0,0.0,0.0,Winter,0,2,2018,Wednesday,0
6342,6,23.7,78,0.3,2000,0.0,0.0,0.0,Summer,0,8,2018,Wednesday,0
2812,4,10.6,77,0.9,422,0.0,0.0,0.0,Spring,0,3,2018,Wednesday,0
1871,23,-2.0,51,3.2,1336,0.0,0.0,0.0,Winter,1,2,2018,Friday,0
7174,22,17.7,52,1.0,2000,0.0,0.0,0.0,Autumn,1,9,2018,Tuesday,0
8530,10,6.9,39,0.5,1977,0.36,0.0,0.0,Autumn,0,11,2018,Wednesday,0
7908,12,12.4,90,1.1,297,0.19,1.0,0.0,Autumn,0,10,2018,Friday,0
5480,8,25.8,69,0.8,969,1.06,0.0,0.0,Summer,0,7,2018,Tuesday,0
8367,15,15.9,30,0.7,1823,1.34,0.0,0.0,Autumn,0,11,2018,Wednesday,0
2577,9,6.3,53,0.5,849,0.34,0.0,0.0,Spring,0,3,2018,Sunday,1
3819,3,10.5,59,1.0,2000,0.0,0.0,0.0,Spring,0,5,2018,Wednesday,0
4452,12,26.3,36,3.1,1377,2.61,0.0,0.0,Summer,0,6,2018,Monday,0
527,23,5.8,74,2.5,832,0.0,0.0,0.0,Winter,1,12,2017,Friday,0
2676,12,8.3,36,2.5,1665,2.7,0.0,0.0,Spring,0,3,2018,Thursday,0
7171,19,20.3,39,0.6,2000,0.0,0.0,0.0,Autumn,1,9,2018,Tuesday,0
8070,6,4.5,77,1.0,1410,0.0,0.0,0.0,Autumn,0,11,2018,Friday,0
2576,8,5.9,58,1.8,861,0.11,0.0,0.0,Spring,0,3,2018,Sunday,1
4370,2,19.0,72,1.4,1258,0.0,0.0,0.0,Summer,0,6,2018,Friday,0
7649,17,19.3,49,2.8,966,0.55,0.0,0.0,Autumn,0,10,2018,Monday,0
2771,11,12.6,60,2.4,281,2.23,0.0,0.0,Spring,0,3,2018,Monday,0
3594,18,20.1,28,3.2,1114,0.89,0.0,0.0,Spring,0,4,2018,Sunday,1
6347,11,32.1,49,1.6,1874,2.63,0.0,0.0,Summer,0,8,2018,Wednesday,0
3331,19,14.7,40,2.4,1207,0.21,0.0,0.0,Spring,0,4,2018,Wednesday,0
1149,21,3.1,74,1.1,333,0.0,0.0,0.0,Winter,0,1,2018,Wednesday,0
5120,8,20.8,96,0.4,1627,0.11,1.5,0.0,Summer,0,7,2018,Monday,0
2166,6,3.0,96,2.7,303,0.0,0.4,0.0,Spring,1,3,2018,Thursday,0
4296,0,20.6,54,2.6,1737,0.0,0.0,0.0,Spring,0,5,2018,Tuesday,0
0,0,-5.2,37,2.2,2000,0.0,0.0,0.0,Winter,0,12,2017,Friday,0
701,5,-1.2,81,0.8,258,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
5096,8,22.1,93,0.5,805,0.14,1.0,0.0,Summer,0,7,2018,Sunday,1
4352,8,16.9,65,1.6,896,1.21,0.0,0.0,Spring,0,5,2018,Thursday,0
5325,21,25.1,86,0.3,870,0.0,0.0,0.0,Summer,0,7,2018,Tuesday,0
5555,11,31.6,54,1.3,990,2.84,0.0,0.0,Summer,0,7,2018,Friday,0
6874,10,22.7,61,0.9,2000,0.82,0.0,0.0,Autumn,0,9,2018,Thursday,0
7673,17,18.4,38,1.8,1565,0.5,0.0,0.0,Autumn,0,10,2018,Tuesday,0
5990,14,34.0,50,1.2,1744,1.68,0.0,0.0,Summer,0,8,2018,Tuesday,0
1554,18,-6.6,36,4.4,2000,0.15,0.0,0.0,Winter,0,2,2018,Saturday,1
6268,4,23.6,61,0.3,2000,0.0,0.0,0.0,Summer,0,8,2018,Sunday,1
2036,20,6.4,77,2.8,316,0.0,0.0,0.0,Winter,0,2,2018,Friday,0
2487,15,21.7,39,3.3,1979,2.09,0.0,0.0,Spring,0,3,2018,Wednesday,0
7537,1,7.3,59,0.1,2000,0.0,0.0,0.0,Autumn,0,10,2018,Thursday,0
6581,5,21.1,87,0.6,1116,0.0,0.0,0.0,Autumn,0,9,2018,Saturday,1
5956,4,28.4,82,0.5,1144,0.0,0.0,0.0,Summer,0,8,2018,Monday,0
2063,23,-0.6,39,1.3,1731,0.0,0.0,0.0,Winter,0,2,2018,Saturday,1
833,17,-2.1,37,1.4,1591,0.09,0.0,0.0,Winter,0,1,2018,Thursday,0
1677,21,-3.3,42,1.1,1596,0.0,0.0,0.0,Winter,0,2,2018,Thursday,0
